127.0.0.1 - - [18/Mar/2016:13:38:48 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:38:51 +0530] "GET /ACIMS/ HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:38:51 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:38:51 +0530] "GET /ACIMS/rotate/slideshow.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:38:51 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:38:51 +0530] "GET /shadow_bg.jpg HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:38:51 +0530] "GET /ACIMS/bgserch.gif HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:31 +0530] "GET /ACIMS/onlineletter.jsp HTTP/1.1" 500 2143
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:33 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:36 +0530] "GET /ACIMS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:37 +0530] "GET /ACIMS/ HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:37 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:37 +0530] "GET /ACIMS/rotate/slideshow.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:37 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:37 +0530] "GET /shadow_bg.jpg HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:39:37 +0530] "GET /ACIMS/bgserch.gif HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:40:07 +0530] "POST /ACIMS/login.jsp HTTP/1.1" 200 7898
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:40:08 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:40:08 +0530] "GET /ACIMS/img/D2_Blueline.gif HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:40:08 +0530] "GET /ACIMS/img/D4_redbullet.gif HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:40:08 +0530] "GET /ACIMS/img/m021.gif HTTP/1.1" 200 6805
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:40:08 +0530] "GET /ACIMS/img/sri1.gif HTTP/1.1" 200 69644
