127.0.0.1 - - [25/Apr/2016:13:16:23 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:29 +0530] "GET /ACIMS/ HTTP/1.1" 200 10585
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:30 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:30 +0530] "GET /ACIMS/rotate/slideshow.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:30 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:31 +0530] "GET /shadow_bg.jpg HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:31 +0530] "GET /ACIMS/bgserch.gif HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:39 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:39 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:39 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:39 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:39 +0530] "GET /shadow_bg.jpg HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:41 +0530] "GET /ACIMS/index.jsp HTTP/1.1" 200 10585
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:41 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:41 +0530] "GET /ACIMS/rotate/slideshow.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:41 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:41 +0530] "GET /shadow_bg.jpg HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:41 +0530] "GET /ACIMS/bgserch.gif HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:49 +0530] "GET /ACIMS/index.jsp HTTP/1.1" 200 10585
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:49 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:49 +0530] "GET /ACIMS/dropdown/images_rotate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:49 +0530] "GET /ACIMS/dropdown/udm_control.js HTTP/1.1" 304 -
